Token Id	Lexeme		Token Type		Position
    16		  int		keyword	[1, 1]
    21		  main		Id	[1, 5]
    9		  (		punctuation symbol	[1, 9]
    10		  )		punctuation symbol	[1, 10]
    11		  {		punctuation symbol	[1, 12]
    16		  int		keyword	[2, 2]
    21		  a		Id	[2, 6]
    6		  =		assignment operator	[2, 8]
    20		  10		integer constant	[2, 10]
    8		  ,		punctuation symbol	[2, 12]
    21		  b		Id	[2, 14]
    6		  =		assignment operator	[2, 16]
    20		  20		integer constant	[2, 18]
    7		  ;		punctuation symbol	[2, 20]
    21		  do		Id	[3, 2]
    11		  {		punctuation symbol	[3, 5]
    21		  b		Id	[4, 3]
    6		  =		assignment operator	[4, 5]
    21		  b		Id	[4, 7]
    0		  +		arithmetic operator	[4, 9]
    20		  10		integer constant	[4, 11]
    7		  ;		punctuation symbol	[4, 14]
    21		  a		Id	[5, 3]
    6		  =		assignment operator	[5, 5]
    21		  a		Id	[5, 7]
    1		  -		arithmetic operator	[5, 9]
    20		  1		integer constant	[5, 11]
    7		  ;		punctuation symbol	[5, 13]
    12		  }		punctuation symbol	[6, 2]
    21		  while		Id	[6, 4]
    9		  (		punctuation symbol	[6, 10]
    21		  a		Id	[6, 12]
    5		  >		relational operator	[6, 14]
    6		  =		assignment operator	[6, 15]
    20		  1		integer constant	[6, 17]
    10		  )		punctuation symbol	[6, 19]
    7		  ;		punctuation symbol	[6, 21]
    12		  }		punctuation symbol	[7, 1]
